date,type,price,shares,value,commission,slippage
2020-02-25,BUY,4.1,24390,99999.0,29.9997,9.9999
2020-03-17,SELL,3.69,24390,89999.1,26.99973,8.99991
2020-04-17,BUY,3.82,23540,89922.8,26.97684,8.99228
2020-09-11,SELL,4.69,23540,110402.6,33.12078,11.04026
2020-10-16,BUY,4.85,22747,110322.95,33.096885,11.032295
2020-12-22,SELL,5.03,22747,114417.41,34.325223,11.441741
2020-12-23,BUY,5.07,22549,114323.43,34.297029,11.432343
2021-03-03,SELL,5.45,22549,122892.05,36.867615,12.289205
2021-04-27,BUY,5.09,24126,122801.34,36.840402,12.280134
2021-06-21,SELL,5.12,24126,123525.12,37.057536,12.352512
2021-07-23,BUY,5.16,23920,123427.2,37.02816,12.34272
2021-07-26,SELL,4.98,23920,119121.6,35.73648,11.91216
2021-09-10,BUY,5.09,23384,119024.56,35.707368,11.902456
2021-09-28,SELL,4.95,23384,115750.8,34.72524,11.57508
2021-10-14,BUY,4.98,23224,115655.52,34.696656,11.565552
2021-11-05,SELL,4.92,23224,114262.08,34.278624,11.426208
2021-11-24,BUY,5.0,22834,114170.0,34.251,11.417
2021-11-29,SELL,4.93,22834,112571.62,33.771486,11.257162
2021-12-03,BUY,4.98,22586,112478.28,33.743484,11.247828
2021-12-29,SELL,4.96,22586,112026.56,33.607968,11.202656
2022-05-27,BUY,4.0,27985,111940.0,33.582,11.194
2022-07-20,SELL,4.33,27985,121175.05,36.352515,12.117505
2022-11-15,BUY,3.93,30809,121079.37,36.323811,12.107937
2022-12-29,SELL,3.92,30809,120771.28,36.231384,12.077128
2023-01-09,BUY,4.07,29650,120675.5,36.20265,12.06755
2023-02-17,SELL,4.03,29650,119489.5,35.84685,11.94895
2023-04-04,BUY,4.1,29120,119392.0,35.8176,11.9392
2023-05-04,SELL,4.03,29120,117353.6,35.20608,11.73536
2023-06-21,BUY,3.89,30144,117260.16,35.178048,11.726016
2023-08-18,SELL,3.85,30144,116054.4,34.81632,11.60544
2023-11-16,BUY,3.64,31858,115963.12,34.788936,11.596312
2023-11-27,SELL,3.58,31858,114051.64,34.215492,11.405164
